Date,Adj Close (^W5000)
10/16/2018,29082.40039
10/17/2018,29056.2207
10/18/2018,28622.13086
10/19/2018,28563.5
10/22/2018,28447.55078
10/23/2018,28279.61914
10/24/2018,27378.9707
10/25/2018,27897.46094
10/26/2018,27427.14063
10/29/2018,27228.07031
10/30/2018,27669.64063
10/31/2018,27980.90039
11/1/2018,28333.06055
11/2/2018,28177.00977
11/5/2018,28302.14063
11/6/2018,28467.25
11/7/2018,29051.69922
11/8/2018,28962.56055
11/9/2018,28668.11914
11/12/2018,28104.13086
11/13/2018,28061.17969
11/14/2018,27853.7793
11/15/2018,28158.85938
11/16/2018,28206.17969
11/19/2018,27702.31055
11/20/2018,27202.92969
11/21/2018,27345.48047
11/23/2018,27196.57031
11/26/2018,27618.78906
11/27/2018,27644.91992
11/28/2018,28293.09961
11/29/2018,28234.2793
11/30/2018,28448.86914
12/3/2018,28768.57031
12/4/2018,27796.92969
12/6/2018,27775.78906
12/7/2018,27143.85938
12/10/2018,27160.10938
12/11/2018,27140.35938
12/12/2018,27302.51953
12/13/2018,27240.01953
12/14/2018,26749.33984
12/17/2018,26160.16016
12/18/2018,26158.23047
12/19/2018,25752.59961
12/20/2018,25333.39063
12/21/2018,24792.94922
12/24/2018,24151.42969
12/26/2018,25366.84961
12/27/2018,25551.63086
12/28/2018,25541.16992
12/31/2018,25749.7207
1/2/2019,25794.7207
1/3/2019,25200.50977
1/4/2019,26080.80078
1/7/2019,26331.38086
1/8/2019,26613.78906
1/9/2019,26741.41016
1/10/2019,26853.7207
1/11/2019,26855.23047
1/14/2019,26697.68945
1/15/2019,26979.59961
1/16/2019,27059.56055
1/17/2019,27266.44922
1/18/2019,27617.2793
1/22/2019,27214.48047
1/23/2019,27256.94922
1/24/2019,27323.83008
1/25/2019,27580.24023
1/28/2019,27384.11914
1/29/2019,27336.81055
1/30/2019,27741.53906
1/31/2019,27992.41016
2/1/2019,28026.69922
2/4/2019,28232.81055
2/5/2019,28362.58984
2/6/2019,28292.56055
2/7/2019,28038.61914
2/8/2019,28056.58008
2/11/2019,28103.91992
2/12/2019,28462.49023
2/13/2019,28548.5293
2/14/2019,28493.25977
2/15/2019,28804.28906
2/19/2019,28862.42969
2/20/2019,28905.49023
2/21/2019,28799.30078
2/22/2019,28986.28906
2/25/2019,29021.31055
2/26/2019,28970.36914
2/27/2019,28990.7207
2/28/2019,28903.30078
3/1/2019,29102.58984
3/4/2019,28963.16992
3/5/2019,28923.10938
3/6/2019,28686.55078
3/7/2019,28463
3/8/2019,28402.18945
3/11/2019,28828.74023
3/12/2019,28905.08984
3/13/2019,29095.58008
3/14/2019,29064.42969
3/15/2019,29193.75
3/18/2019,29322.71094
3/19/2019,29297.55078
3/20/2019,29200.55078
3/21/2019,29530.24023
3/22/2019,28909.55078
3/25/2019,28891.56055
3/26/2019,29110.69922
3/27/2019,28967.78906
3/28/2019,29083.83008
3/29/2019,29266.91016
4/1/2019,29607.42969
4/2/2019,29565.16992
4/3/2019,29680.51953
4/4/2019,29727.23047
4/5/2019,29887.03906
4/8/2019,29908.90039
4/9/2019,29710.98047
4/10/2019,29860.76953
4/11/2019,29866.00977
4/12/2019,30059.93945
4/15/2019,30030.55078
4/16/2019,30047.66016
4/17/2019,29943.64063
4/18/2019,29981.13086
4/22/2019,30010.0293
4/23/2019,30300.71094
4/24/2019,30247.30078
4/25/2019,30208.63086
4/26/2019,30371.11914
4/29/2019,30415.55078
4/30/2019,30410.01953
5/1/2019,30181
5/2/2019,30127.5
5/3/2019,30460.58984
5/6/2019,30343.69922
5/7/2019,29837.11914
5/8/2019,29779.39063
5/9/2019,29694.40039
5/10/2019,29801.59961
5/13/2019,29041.40039
5/14/2019,29299.99023
5/15/2019,29471.33984
5/16/2019,29729.88086
5/17/2019,29521.59961
5/20/2019,29318.08008
5/21/2019,29586.84961
5/22/2019,29476.82031
5/23/2019,29081.57031
5/24/2019,29147.58984
5/28/2019,28918.91992
5/29/2019,28710.15039
5/30/2019,28748.31055
5/31/2019,28369.39063
6/3/2019,28258.67969
6/4/2019,28904.91992
6/5/2019,29101.18945
6/6/2019,29249.82031
6/7/2019,29545.53906
6/10/2019,29698.69922
6/11/2019,29674.55078
6/12/2019,29622.08984
6/13/2019,29763.59961
6/14/2019,29684.75
6/17/2019,29735.38086
6/18/2019,30028.66992
6/19/2019,30128.96094
6/20/2019,30394.59961
6/21/2019,30321.86914
6/24/2019,30216.2793
6/25/2019,29927.08008
6/26/2019,29892.2207
6/27/2019,30069.41016
6/28/2019,30268.05078
7/1/2019,30485.46094
7/2/2019,30551.83008
7/3/2019,30794.65039
7/5/2019,30763.7207
7/8/2019,30598.14063
7/9/2019,30654.92969
7/10/2019,30785.65039
7/11/2019,30829.57031
7/12/2019,30984.92969
7/15/2019,30978.34961
7/16/2019,30884.21094
7/17/2019,30691.69922
7/18/2019,30788.50977
7/19/2019,30607.58008
7/22/2019,30687.68945
7/23/2019,30888.56055
7/24/2019,31086.14063
7/25/2019,30895.40039
7/26/2019,31146.51953
7/29/2019,31046.63086
7/30/2019,31005.35938
7/31/2019,30684.82031
8/1/2019,30376.89063
8/2/2019,30120.89063
8/5/2019,29213.53906
8/6/2019,29578.64063
