stfips,areatype,area,periodyear,periodtype,period,spdate,spvalue
00,00,000000,2019,68,227,2019-08-15T00:00:00,2847.6
00,00,000000,2019,68,228,2019-08-16T00:00:00,2888.68
00,00,000000,2019,68,231,2019-08-19T00:00:00,2923.65
00,00,000000,2019,68,232,2019-08-20T00:00:00,2900.51
00,00,000000,2019,68,233,2019-08-21T00:00:00,2924.43
00,00,000000,2019,68,234,2019-08-22T00:00:00,2922.95
00,00,000000,2019,68,235,2019-08-23T00:00:00,2847.11
00,00,000000,2019,68,238,2019-08-26T00:00:00,2878.38
00,00,000000,2019,68,239,2019-08-27T00:00:00,2869.16
00,00,000000,2019,68,240,2019-08-28T00:00:00,2887.94
00,00,000000,2019,68,241,2019-08-29T00:00:00,2924.58
00,00,000000,2019,68,242,2019-08-30T00:00:00,2926.46
00,00,000000,2019,68,246,2019-09-03T00:00:00,2906.27
00,00,000000,2019,68,247,2019-09-04T00:00:00,2937.78
00,00,000000,2019,68,248,2019-09-05T00:00:00,2976
00,00,000000,2019,68,249,2019-09-06T00:00:00,2978.71
00,00,000000,2019,68,252,2019-09-09T00:00:00,2978.43
00,00,000000,2019,68,253,2019-09-10T00:00:00,2979.39
00,00,000000,2019,68,254,2019-09-11T00:00:00,3000.93
00,00,000000,2019,68,255,2019-09-12T00:00:00,3009.57
00,00,000000,2019,68,256,2019-09-13T00:00:00,3007.39
00,00,000000,2019,68,259,2019-09-16T00:00:00,2997.96
00,00,000000,2019,68,260,2019-09-17T00:00:00,3005.7
00,00,000000,2019,68,261,2019-09-18T00:00:00,3006.73
00,00,000000,2019,68,262,2019-09-19T00:00:00,3006.79
00,00,000000,2019,68,263,2019-09-20T00:00:00,2992.07
00,00,000000,2019,68,266,2019-09-23T00:00:00,2991.78
00,00,000000,2019,68,267,2019-09-24T00:00:00,2966.6
00,00,000000,2019,68,268,2019-09-25T00:00:00,2984.87
00,00,000000,2019,68,269,2019-09-26T00:00:00,2977.62
00,00,000000,2019,68,270,2019-09-27T00:00:00,2961.79
00,00,000000,2019,68,273,2019-09-30T00:00:00,2976.74
