DATE,T10YIE[%]
11/29/2019,1.61
12/2/2019,1.65
12/3/2019,1.63
12/4/2019,1.66
12/5/2019,1.67
12/6/2019,1.69
12/9/2019,1.69
12/10/2019,1.71
12/11/2019,1.69
12/12/2019,1.72
12/13/2019,1.7
12/16/2019,1.73
12/17/2019,1.75
12/18/2019,1.76
12/19/2019,1.77
12/20/2019,1.77
12/23/2019,1.75
12/24/2019,1.75
12/25/2019,.
12/26/2019,1.74
12/27/2019,1.73
12/30/2019,1.75
12/31/2019,1.77
1/1/2020,.
1/2/2020,1.8
1/3/2020,1.77
1/6/2020,1.75
1/7/2020,1.74
1/8/2020,1.75
1/9/2020,1.74
1/10/2020,1.76
1/13/2020,1.77
1/14/2020,1.77
1/15/2020,1.75
1/16/2020,1.74
1/17/2020,1.75
1/20/2020,.
1/21/2020,1.74
1/22/2020,1.72
1/23/2020,1.7
1/24/2020,1.68
1/27/2020,1.63
1/28/2020,1.65
1/29/2020,1.64
1/30/2020,1.64
1/31/2020,1.65
2/3/2020,1.63
2/4/2020,1.64
2/5/2020,1.66
2/6/2020,1.67
2/7/2020,1.66
2/10/2020,1.66
2/11/2020,1.65
2/12/2020,1.66
2/13/2020,1.67
2/14/2020,1.66
2/17/2020,.
2/18/2020,1.65
2/19/2020,1.65
2/20/2020,1.63
2/21/2020,1.61
2/24/2020,1.59
2/25/2020,1.53
2/26/2020,1.54
2/27/2020,1.53
2/28/2020,1.41
3/2/2020,1.41
3/3/2020,1.45
3/4/2020,1.46
3/5/2020,1.4
3/6/2020,1.31
3/9/2020,0.99
3/10/2020,1
3/11/2020,0.96
3/12/2020,0.92
3/13/2020,0.9
3/16/2020,0.73
3/17/2020,0.63
3/18/2020,0.63
3/19/2020,0.5
3/20/2020,0.75
3/23/2020,0.8
3/24/2020,0.97
3/25/2020,1.07
3/26/2020,1.07
3/27/2020,0.94
3/30/2020,0.95
3/31/2020,0.87
4/1/2020,0.91
4/2/2020,1.03
4/3/2020,1.08
4/6/2020,1.14
4/7/2020,1.17
4/8/2020,1.19
4/9/2020,1.23
4/10/2020,.
4/13/2020,1.26
4/14/2020,1.29
4/15/2020,1.19
4/16/2020,1.03
4/17/2020,1.01
4/20/2020,0.94
4/21/2020,0.96
4/22/2020,1.06
4/23/2020,1.05
4/24/2020,1.11
4/27/2020,1.17
4/28/2020,1.14
4/29/2020,1.14
4/30/2020,1.07
5/1/2020,1.06
