Date,Adj Close (^W5000),Volume (^W5000)
3/11/2020,27598.91016,0
3/12/2020,24909.10938,0
3/13/2020,27142.66992,0
3/16/2020,23818.44922,0
3/17/2020,25182.90039,0
3/18/2020,23731.69922,0
3/19/2020,24064.35938,0
3/20/2020,23082.44922,0
3/23/2020,22465.14063,0
3/24/2020,24542.51953,0
3/25/2020,24878.58008,0
3/26/2020,26385.40039,0
3/27/2020,25500.57031,0
3/30/2020,26275.33984,0
3/31/2020,25899.92969,0
4/1/2020,24711.15039,0
4/2/2020,25199.64063,0
4/3/2020,24736.25977,0
4/6/2020,26532.08008,0
4/7/2020,26522.18945,0
4/8/2020,27457.05078,0
4/9/2020,27938.92969,0
4/13/2020,27647.75977,0
4/14/2020,28477.36914,0
4/15/2020,27837.82031,0
4/16/2020,27984.94922,0
4/17/2020,28760.23047,0
4/20/2020,28286.05078,0
4/21/2020,27433.69922,0
4/22/2020,28061.35938,0
4/23/2020,28096.78906,0
4/24/2020,28483.89063,0
4/27/2020,28990.13086,0
4/28/2020,28876.23047,0
4/29/2020,29719.01953,0
4/30/2020,29365.49023,0
5/1/2020,28500.60938,0
