Date,Adj Close (^DJI),Volume  (^DJI)
2/7/2020,29102.50977,252860000
2/10/2020,29276.82031,250510000
2/11/2020,29276.33984,279540000
2/12/2020,29551.41992,309530000
2/13/2020,29423.31055,291150000
2/14/2020,29398.08008,231000000
2/18/2020,29232.18945,256600000
2/19/2020,29348.0293,240640000
2/20/2020,29219.98047,287780000
2/21/2020,28992.41016,311210000
2/24/2020,27960.80078,452580000
2/25/2020,27081.35938,513270000
2/26/2020,26957.58984,472450000
2/27/2020,25766.64063,664980000
2/28/2020,25409.35938,915990000
3/2/2020,26703.32031,637200000
3/3/2020,25917.41016,647080000
3/4/2020,27090.85938,457590000
3/5/2020,26121.2793,477370000
3/6/2020,25864.7793,599780000
3/9/2020,23851.01953,750430000
3/10/2020,25018.16016,654860000
3/11/2020,23553.2207,663960000
3/12/2020,21200.61914,908260000
3/13/2020,23185.61914,843080000
3/16/2020,20188.51953,770130000
3/17/2020,21237.38086,793060000
3/18/2020,19898.91992,871360000
3/19/2020,20087.18945,780300000
3/20/2020,19173.98047,872290000
3/23/2020,18591.92969,787970000
3/24/2020,20704.91016,799340000
3/25/2020,21200.55078,796320000
3/26/2020,22552.16992,705180000
3/27/2020,21636.7793,588830000
3/30/2020,22327.48047,545540000
3/31/2020,21917.16016,571210000
4/1/2020,20943.50977,506680000
4/2/2020,21413.43945,529540000
4/3/2020,21052.5293,450010000
4/6/2020,22679.99023,610760000
4/7/2020,22653.85938,594660000
4/8/2020,23433.57031,472740000
4/9/2020,23719.36914,566400000
4/13/2020,23390.76953,394320000
4/14/2020,23949.75977,485910000
4/15/2020,23504.34961,437630000
4/16/2020,23537.67969,471050000
4/17/2020,24242.49023,525950000
4/20/2020,23650.43945,423410000
4/21/2020,23018.88086,485140000
4/22/2020,23475.82031,352880000
4/23/2020,23515.25977,389290000
4/24/2020,23775.26953,376020000
4/27/2020,24133.7793,389390000
4/28/2020,24101.55078,400250000
4/29/2020,24633.85938,455290000
4/30/2020,24345.7207,487840000
5/1/2020,23723.68945,418160000
