Date,Adj Close (^GSPC),Volume (^GSPC)
5/30/2019,2788.860107,3273790000
5/31/2019,2752.060059,3981020000
6/3/2019,2744.449951,3943810000
6/4/2019,2803.27002,3810430000
6/5/2019,2826.149902,3548830000
6/6/2019,2843.48999,3396410000
6/7/2019,2873.340088,3220250000
6/10/2019,2886.72998,3209210000
6/11/2019,2885.719971,3548420000
6/12/2019,2879.840088,3034130000
6/13/2019,2891.639893,3069810000
6/14/2019,2886.97998,2922330000
6/17/2019,2889.669922,2810140000
6/18/2019,2917.75,3437620000
6/19/2019,2926.459961,3287890000
6/20/2019,2954.179932,3905940000
6/21/2019,2950.459961,5000120000
6/24/2019,2945.350098,3136250000
6/25/2019,2917.379883,3578050000
6/26/2019,2913.780029,3478130000
6/27/2019,2924.919922,3122920000
6/28/2019,2941.76001,5420700000
7/1/2019,2964.330078,3513270000
7/2/2019,2973.01001,3206840000
7/3/2019,2995.820068,1963720000
7/5/2019,2990.409912,2434210000
7/8/2019,2975.949951,2904550000
7/9/2019,2979.629883,3028210000
7/10/2019,2993.070068,3154240000
7/11/2019,2999.909912,3154620000
7/12/2019,3013.77002,2974960000
7/15/2019,3014.300049,2874970000
7/16/2019,3004.040039,3290650000
7/17/2019,2984.419922,3181600000
7/18/2019,2995.110107,3296580000
7/19/2019,2976.610107,3260360000
7/22/2019,2985.030029,3003720000
7/23/2019,3005.469971,3313660000
7/24/2019,3019.560059,3428980000
7/25/2019,3003.669922,3645270000
7/26/2019,3025.860107,3257590000
7/29/2019,3020.969971,3203710000
7/30/2019,3013.179932,3634330000
7/31/2019,2980.379883,4623430000
8/1/2019,2953.560059,4762300000
8/2/2019,2932.050049,3874660000
8/5/2019,2844.73999,4513730000
8/6/2019,2881.77002,4154240000
8/7/2019,2883.97998,4491750000
8/8/2019,2938.090088,4106370000
8/9/2019,2918.649902,3350640000
8/12/2019,2882.699951,2851630000
8/13/2019,2926.320068,3853600000
8/14/2019,2840.600098,4312530000
8/15/2019,2847.600098,4038000000
8/16/2019,2888.679932,3498150000
8/19/2019,2923.649902,3212880000
8/20/2019,2900.51001,3066300000
8/21/2019,2924.429932,3011190000
8/22/2019,2922.949951,2890880000
8/23/2019,2847.110107,3937300000
8/26/2019,2878.379883,2857600000
8/27/2019,2869.159912,3533630000
8/28/2019,2887.939941,3097420000
8/29/2019,2924.580078,3176190000
8/30/2019,2926.459961,3008450000
9/3/2019,2906.27002,3426790000
9/4/2019,2937.780029,3163260000
9/5/2019,2976,3890700000
9/6/2019,2978.709961,3208280000
9/9/2019,2978.429932,4002890000
9/10/2019,2979.389893,4390770000
9/11/2019,3000.929932,3927550000
9/12/2019,3009.570068,3791860000
9/13/2019,3007.389893,3520060000
9/16/2019,2997.959961,4274640000
9/17/2019,3005.699951,3671840000
9/18/2019,3006.72998,3435540000
9/19/2019,3006.790039,3251290000
9/20/2019,2992.070068,6094740000
9/23/2019,2991.780029,3186590000
9/24/2019,2966.600098,3868160000
9/25/2019,2984.870117,3318870000
9/26/2019,2977.620117,3077240000
9/27/2019,2961.790039,3243650000
9/30/2019,2976.73999,3247610000
10/1/2019,2940.25,3558040000
10/2/2019,2887.610107,3912520000
10/3/2019,2910.629883,3503640000
10/4/2019,2952.01001,2990830000
10/7/2019,2938.790039,2940140000
10/8/2019,2893.060059,3356450000
10/9/2019,2919.399902,2726820000
10/10/2019,2938.129883,3217250000
10/11/2019,2970.27002,3580460000
10/14/2019,2966.149902,2557020000
10/15/2019,2995.679932,3340740000
10/16/2019,2989.689941,3222570000
10/17/2019,2997.949951,3115960000
10/18/2019,2986.199951,3264290000
10/21/2019,3006.719971,3271620000
10/22/2019,2995.98999,3523890000
10/23/2019,3004.52002,3392870000
10/24/2019,3010.290039,3692600000
10/25/2019,3022.550049,3370370000
10/28/2019,3039.419922,3521230000
10/29/2019,3036.889893,3589930000
10/30/2019,3046.77002,3776030000
10/31/2019,3037.560059,4139280000
11/1/2019,3066.909912,3930200000
11/4/2019,3078.27002,4146850000
11/5/2019,3074.620117,4486130000
11/6/2019,3076.780029,4458190000
11/7/2019,3085.179932,4144640000
11/8/2019,3093.080078,3499150000
11/11/2019,3087.01001,3035530000
11/12/2019,3091.840088,3466010000
11/13/2019,3094.040039,3509280000
11/14/2019,3096.629883,3276070000
11/15/2019,3120.459961,3335650000
11/18/2019,3122.030029,3436690000
11/19/2019,3120.179932,3590070000
11/20/2019,3108.459961,4034890000
11/21/2019,3103.540039,3720560000
11/22/2019,3110.290039,3226780000
11/25/2019,3133.639893,3511530000
11/26/2019,3140.52002,4595590000
11/27/2019,3153.629883,3033090000
11/29/2019,3140.97998,1743020000
12/2/2019,3113.870117,3268740000
12/3/2019,3093.199951,3653390000
12/4/2019,3112.76001,3695030000
12/5/2019,3117.429932,3355750000
12/6/2019,3145.909912,3479480000
12/9/2019,3135.959961,3345990000
12/10/2019,3132.52002,3343790000
12/11/2019,3141.629883,3252540000
12/12/2019,3168.570068,3990690000
12/13/2019,3168.800049,3736870000
12/16/2019,3191.449951,4051790000
12/17/2019,3192.52002,3837540000
12/18/2019,3191.139893,4014080000
12/19/2019,3205.370117,3720450000
12/20/2019,3221.219971,6454270000
12/23/2019,3224.01001,3060610000
12/24/2019,3223.379883,1296540000
12/26/2019,3239.909912,2160680000
12/27/2019,3240.02002,2428670000
12/30/2019,3221.290039,3013290000
12/31/2019,3230.780029,2893810000
1/2/2020,3257.850098,3458250000
1/3/2020,3234.850098,3461290000
1/6/2020,3246.280029,3674070000
1/7/2020,3237.179932,3420380000
1/8/2020,3253.050049,3720890000
1/9/2020,3274.699951,3638390000
1/10/2020,3265.350098,3212970000
1/13/2020,3288.129883,3456380000
