key_0,Adj Close (^GSPC),DGS10 [%],T10YIE[%],Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 ,Initial unemployment claims (Seasonally adjusted),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon)
2019-03-03,2803.689941,2.76,1.96,0,0,0,224000,2.502,3.076
2019-03-04,2792.810059,2.72,1.94,0,0,0,224000,2.502,3.076
2019-03-05,2789.649902,2.72,1.93,0,0,0,224000,2.549,3.079
2019-03-06,2771.449951,2.69,1.91,0,0,0,224000,2.549,3.079
2019-03-07,2748.929932,2.64,1.9,0,0,0,224000,2.549,3.079
2019-03-08,2743.070068,2.62,1.9,0,0,0,224000,2.549,3.079
2019-03-09,2743.070068,2.62,1.9,0,0,0,224000,2.549,3.079
2019-03-10,2743.070068,2.62,1.9,0,0,0,219000,2.549,3.079
2019-03-11,2783.300049,2.64,1.91,0,0,0,219000,2.549,3.079
2019-03-12,2791.52002,2.61,1.9,0,0,0,219000,2.625,3.07
2019-03-13,2810.919922,2.61,1.92,0,0,0,219000,2.625,3.07
2019-03-14,2808.47998,2.63,1.94,0,0,0,219000,2.625,3.07
2019-03-15,2822.47998,2.59,1.94,0,0,0,219000,2.625,3.07
2019-03-16,2822.47998,2.59,1.94,0,0,0,219000,2.625,3.07
2019-03-17,2822.47998,2.59,1.94,0,0,0,215000,2.625,3.07
2019-03-18,2832.939941,2.6,1.96,0,0,0,215000,2.625,3.07
2019-03-19,2832.570068,2.61,1.95,0,0,0,215000,2.701,3.08
2019-03-20,2824.22998,2.54,1.96,0,0,0,215000,2.701,3.08
2019-03-21,2854.879883,2.54,1.96,0,0,0,215000,2.701,3.08
2019-03-22,2800.709961,2.44,1.9,0,0,0,215000,2.701,3.08
2019-03-23,2800.709961,2.44,1.9,0,0,0,215000,2.701,3.08
2019-03-24,2800.709961,2.44,1.9,0,0,0,211000,2.701,3.08
2019-03-25,2798.360107,2.43,1.88,0,0,0,211000,2.701,3.08
2019-03-26,2818.459961,2.41,1.86,0,0,0,211000,2.77,3.078
2019-03-27,2805.370117,2.39,1.84,0,0,0,211000,2.77,3.078
2019-03-28,2815.439941,2.39,1.83,0,0,0,211000,2.77,3.078
2019-03-29,2834.399902,2.41,1.88,0,0,0,211000,2.77,3.078
2019-03-30,2834.399902,2.41,1.88,0,0,0,211000,2.77,3.078
2019-03-31,2834.399902,2.41,1.88,0,0,0,203000,2.77,3.078
2019-04-01,2867.189941,2.49,1.9,0,0,0,203000,2.77,3.078
2019-04-02,2867.23999,2.48,1.9,0,0,0,203000,2.826,3.093
2019-04-03,2873.399902,2.52,1.91,0,0,0,203000,2.826,3.093
2019-04-04,2879.389893,2.51,1.9,0,0,0,203000,2.826,3.093
2019-04-05,2892.73999,2.5,1.9,0,0,0,203000,2.826,3.093
2019-04-06,2892.73999,2.5,1.9,0,0,0,203000,2.826,3.093
2019-04-07,2892.73999,2.5,1.9,0,0,0,203000,2.826,3.093
2019-04-08,2895.77002,2.52,1.91,0,0,0,203000,2.826,3.093
2019-04-09,2878.199951,2.51,1.91,0,0,0,203000,2.912,3.118
2019-04-10,2888.209961,2.48,1.94,0,0,0,203000,2.912,3.118
2019-04-11,2888.320068,2.51,1.94,0,0,0,203000,2.912,3.118
2019-04-12,2907.409912,2.56,1.95,0,0,0,203000,2.912,3.118
2019-04-13,2907.409912,2.56,1.95,0,0,0,203000,2.912,3.118
2019-04-14,2907.409912,2.56,1.95,0,0,0,226000,2.912,3.118
2019-04-15,2905.580078,2.55,1.94,0,0,0,226000,2.912,3.118
2019-04-16,2907.060059,2.6,1.96,0,0,0,226000,2.926,3.147
2019-04-17,2900.449951,2.59,1.94,0,0,0,226000,2.926,3.147
2019-04-18,2905.030029,2.57,1.95,0,0,0,226000,2.926,3.147
2019-04-19,2905.030029,2.57,1.95,0,0,0,226000,2.926,3.147
2019-04-20,2905.030029,2.57,1.95,0,0,0,226000,2.926,3.147
2019-04-21,2905.030029,2.57,1.95,0,0,0,230000,2.926,3.147
2019-04-22,2907.969971,2.59,1.95,0,0,0,230000,2.926,3.147
2019-04-23,2933.679932,2.57,1.95,0,0,0,230000,2.972,3.169
2019-04-24,2927.25,2.53,1.96,0,0,0,230000,2.972,3.169
2019-04-25,2926.169922,2.54,1.98,0,0,0,230000,2.972,3.169
2019-04-26,2939.879883,2.51,1.97,0,0,0,230000,2.972,3.169
2019-04-27,2939.879883,2.51,1.97,0,0,0,230000,2.972,3.169
2019-04-28,2939.879883,2.51,1.97,0,0,0,225000,2.972,3.169
2019-04-29,2943.030029,2.54,1.96,0,0,0,225000,2.972,3.169
2019-04-30,2945.830078,2.51,1.95,0,0,0,225000,2.983,3.171
2019-05-01,2923.72998,2.52,1.93,0,0,0,225000,2.983,3.171
2019-05-02,2917.52002,2.55,1.89,0,0,0,225000,2.983,3.171
2019-05-03,2945.639893,2.54,1.91,0,0,0,225000,2.983,3.171
2019-05-04,2945.639893,2.54,1.91,0,0,0,225000,2.983,3.171
2019-05-05,2945.639893,2.54,1.91,0,0,0,217000,2.983,3.171
2019-05-06,2932.469971,2.51,1.91,0,0,0,217000,2.983,3.171
